DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I20-I25,TOT_IN,EU27_2020,2020,484945,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EL,2011,14146,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EL,2012,14952,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EL,2013,14188,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EL,2014,13493,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EL,2015,13657,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EL,2016,12962,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EL,2017,12988,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EL,2018,11784,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EL,2019,12212,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EL,2020,12292,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EU27_2020,2011,365449,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EU27_2020,2012,369371,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EU27_2020,2013,358638,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EU27_2020,2014,348907,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EU27_2020,2015,357138,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EU27_2020,2016,341595,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EU27_2020,2017,344065,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EU27_2020,2018,335930,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EU27_2020,2019,325828,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,I60-I69,TOT_IN,EU27_2020,2020,334669,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EL,2011,2116,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EL,2012,2129,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EL,2013,1994,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EL,2014,2693,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EL,2015,3291,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EL,2016,2841,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EL,2017,3098,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EL,2018,2878,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EL,2019,3090,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EL,2020,2896,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EU27_2020,2011,115999,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EU27_2020,2012,122179,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EU27_2020,2013,121921,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EU27_2020,2014,117164,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EU27_2020,2015,132151,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EU27_2020,2016,126305,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EU27_2020,2017,135171,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EU27_2020,2018,132126,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EU27_2020,2019,129539,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,J40-J47,TOT_IN,EU27_2020,2020,121928,
