DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,resid,geo,TIME_PERIOD,DEATHS,OBS_FLAG
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,ES,2015,363218,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,ES,2016,351664,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,ES,2017,365527,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,ES,2018,368002,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,ES,2019,359736,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,ES,2020,429596,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2011,3485240,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2012,3618227,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2013,3612213,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2014,3584869,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2015,3824566,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2016,3757804,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2017,3892548,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2018,3924165,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2019,3910714,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,EU27_2020,2020,4400885,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FI,2011,40282,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FI,2012,41880,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FI,2013,42079,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FI,2014,43504,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FI,2015,43889,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FI,2016,45548,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FI,2017,45499,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FI,2018,46501,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FI,2019,46376,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FI,2020,47699,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FR,2011,434966,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FR,2012,461167,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FR,2013,461804,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FR,2014,455166,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FR,2015,488864,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FR,2016,490718,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FR,2017,504778,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FR,2018,508992,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FR,2019,514734,p
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,FR,2020,568752,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,HR,2011,40916,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,HR,2012,41801,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,HR,2013,40780,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,HR,2014,41451,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,HR,2015,44663,
ESTAT:HLTH_CD_ARO(1.0),13/04/23 11:00:00,A,NR,T,Y_GE65,A-R_V-Y,TOT_IN,HR,2016,42741,
