DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,GDP_per_Capita,OBS_FLAG
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EE,2014,12960,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EE,2015,13230,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EE,2016,13620,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EE,2017,14410,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EE,2018,14920,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EE,2019,15410,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EE,2020,15280,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EL,2011,18130,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EL,2012,16940,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EL,2013,16630,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EL,2014,16830,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EL,2015,16900,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EL,2016,16890,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EL,2017,17110,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EL,2018,17430,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EL,2019,17780,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EL,2020,16210,p
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,ES,2011,22770,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,ES,2012,22080,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,ES,2013,21850,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,ES,2014,22220,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,ES,2015,23090,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,ES,2016,23780,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,ES,2017,24440,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,ES,2018,24890,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,ES,2019,25180,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,ES,2020,22210,p
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EU27_2020,2011,25330,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EU27_2020,2012,25110,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EU27_2020,2013,25060,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EU27_2020,2014,25430,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EU27_2020,2015,25950,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EU27_2020,2016,26410,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EU27_2020,2017,27110,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EU27_2020,2018,27620,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EU27_2020,2019,28050,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,EU27_2020,2020,26440,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FI,2011,35810,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FI,2012,35140,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FI,2013,34660,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FI,2014,34390,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FI,2015,34460,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FI,2016,35330,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FI,2017,36380,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FI,2018,36740,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FI,2019,37150,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FI,2020,36220,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FR,2011,31210,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FR,2012,31160,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FR,2013,31170,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FR,2014,31320,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FR,2015,31540,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FR,2016,31770,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FR,2017,32360,
ESTAT:SDG_08_10(1.0),02/06/23 23:00:00,A,CLV10_EUR_HAB,B1GQ,FR,2018,32800,
